ir.symb	fig.rel	ir.lett	cult.fr	raven	pers.sp1	pers.sp2	vocab
45.728	54.763	37.154	45.837	11.112	37.494	62.49	66.672
82.882	95.24	92.885	80.562	83.34	54.158	64.573	83.34
58.589	69.049	54.302	58.338	38.892	33.328	70.822	83.34
54.302	78.573	60.018	72.228	33.336	58.324	95.818	72.228
37.154	59.525	42.87	54.171	33.336	37.494	60.407	77.784
32.867	69.049	34.296	51.393	16.668	43.743	54.158	61.116
45.728	78.573	52.873	51.393	44.448	41.66	54.158	83.34
15.719	69.049	22.864	43.059	38.892	20.83	43.743	77.784
68.592	85.716	78.595	72.228	61.116	52.075	68.739	72.228
50.015	71.43	55.731	62.505	66.672	43.743	54.158	44.448
35.725	66.668	41.441	59.727	33.336	52.075	70.822	83.34
50.015	76.192	51.444	72.228	27.78	39.577	68.739	72.228
72.879	100.002	80.024	69.45	88.896	49.992	79.154	88.896
60.018	92.859	60.018	62.505	44.448	47.909	64.573	83.34
72.879	90.478	87.169	69.45	38.892	29.162	58.324	94.452
50.015	80.954	44.299	50.004	16.668	49.992	85.403	72.228
82.882	85.716	90.027	66.672	66.672	43.743	54.158	66.672
50.015	85.716	60.018	61.116	55.56	41.66	56.241	72.228
54.302	78.573	74.308	65.283	44.448	35.411	64.573	66.672
62.876	83.335	52.873	62.505	61.116	37.494	37.494	88.896
51.444	85.716	55.731	70.839	55.56	33.328	60.407	66.672
21.435	57.144	28.58	37.503	22.224	37.494	41.66	66.672
74.308	92.859	64.305	70.839	27.78	49.992	70.822	83.34
48.586	78.573	51.444	55.56	44.448	60.407	93.735	83.34
48.586	71.43	48.586	61.116	55.56	56.241	91.652	66.672
27.151	50.001	35.725	50.004	22.224	41.66	56.241	66.672
51.444	52.382	41.441	54.171	38.892	60.407	62.49	77.784
32.867	42.858	18.577	43.059	16.668	37.494	52.075	83.34
51.444	64.287	41.441	59.727	27.78	39.577	60.407	72.228
41.441	66.668	50.015	48.615	44.448	47.909	72.905	77.784
28.58	66.668	24.293	44.448	33.336	35.411	56.241	61.116
54.302	80.954	67.163	63.894	66.672	37.494	74.988	66.672
61.447	85.716	74.308	72.228	50.004	56.241	95.818	66.672
64.305	61.906	57.16	61.116	50.004	39.577	74.988	66.672
75.737	92.859	82.882	81.951	66.672	43.743	74.988	83.34
88.598	92.859	91.456	75.006	94.452	64.573	85.403	72.228
51.444	66.668	42.87	59.727	50.004	47.909	93.735	88.896
40.012	69.049	51.444	55.56	33.336	31.245	47.909	72.228
48.586	64.287	58.589	59.727	33.336	45.826	68.739	72.228
55.731	71.43	60.018	68.061	50.004	45.826	81.237	77.784
64.305	76.192	58.589	65.283	38.892	41.66	87.486	72.228
51.444	54.763	34.296	52.782	44.448	64.573	83.32	77.784
37.154	57.144	27.151	54.171	44.448	39.577	60.407	72.228
31.438	66.668	25.722	54.171	11.112	35.411	64.573	66.672
50.015	88.097	58.589	59.727	33.336	41.66	72.905	61.116
60.018	69.049	67.163	59.727	22.224	35.411	72.905	83.34
84.311	92.859	71.45	81.951	66.672	52.075	74.988	55.56
35.725	73.811	47.157	54.171	33.336	33.328	62.49	88.896
71.45	78.573	82.882	75.006	88.896	60.407	81.237	94.452
41.441	57.144	38.583	58.338	33.336	33.328	70.822	72.228
61.447	71.43	64.305	62.505	38.892	45.826	77.071	83.34
34.296	88.097	44.299	51.393	50.004	41.66	74.988	77.784
28.58	69.049	31.438	50.004	27.78	35.411	74.988	55.56
38.583	71.43	22.864	58.338	33.336	20.83	47.909	66.672
20.006	47.62	14.29	55.56	5.556	29.162	52.075	77.784
64.305	83.335	67.163	62.505	50.004	45.826	66.656	77.784
64.305	83.335	68.592	63.894	44.448	47.909	97.901	66.672
70.021	78.573	77.166	63.894	72.228	49.992	62.49	66.672
45.728	90.478	62.876	55.56	61.116	52.075	81.237	72.228
58.589	69.049	52.873	61.116	33.336	35.411	58.324	72.228
62.876	83.335	75.737	69.45	38.892	43.743	68.739	72.228
78.595	80.954	78.595	68.061	50.004	47.909	74.988	72.228
55.731	76.192	67.163	68.061	50.004	47.909	70.822	77.784
