ir.1	ir.2	fr.2	cf.2	group	ir1.group
12.861	30.009	45.239	22.864	1	12.861
30.009	61.447	90.478	62.876	1	30.009
28.58	45.728	54.763	37.154	1	28.58
78.595	82.882	95.24	92.885	1	78.595
30.009	58.589	69.049	54.302	1	30.009
47.157	54.302	78.573	60.018	1	47.157
28.58	37.154	59.525	42.87	1	28.58
20.006	27.151	42.858	20.006	0	0
18.577	32.867	69.049	34.296	1	18.577
12.861	22.864	57.144	30.009	0	0
25.722	35.725	47.62	45.728	0	0
25.722	45.728	78.573	52.873	1	25.722
18.577	15.719	69.049	22.864	1	18.577
65.734	78.595	76.192	85.74	0	0
30.009	40.012	76.192	35.725	0	0
61.447	68.592	85.716	78.595	1	61.447
38.583	50.015	71.43	55.731	1	38.583
21.435	35.725	66.668	41.441	1	21.435
21.435	50.015	76.192	51.444	1	21.435
8.574	5.716	11.905	4.287	0	0
34.296	72.879	100.002	80.024	1	34.296
27.151	65.734	85.716	65.734	0	0
42.87	60.018	92.859	60.018	1	42.87
50.015	72.879	90.478	87.169	1	50.015
41.441	50.015	80.954	44.299	1	41.441
57.16	82.882	85.716	90.027	1	57.16
74.308	90.027	85.716	87.169	0	0
27.151	50.015	85.716	60.018	1	27.151
51.444	77.166	69.049	70.021	0	0
25.722	54.302	78.573	74.308	1	25.722
24.293	62.876	83.335	52.873	1	24.293
24.293	51.444	85.716	55.731	1	24.293
12.861	21.435	57.144	28.58	1	12.861
31.438	74.308	92.859	64.305	1	31.438
18.577	48.586	78.573	51.444	1	18.577
20.006	30.009	64.287	54.302	0	0
28.58	48.586	71.43	48.586	1	28.58
0	20.006	40.477	10.003	0	0
18.577	27.151	50.001	35.725	1	18.577
14.29	51.444	52.382	41.441	1	14.29
45.728	52.873	64.287	54.302	0	0
7.145	32.867	42.858	18.577	1	7.145
47.157	68.592	78.573	61.447	0	0
38.583	54.302	73.811	62.876	0	0
25.722	51.444	64.287	41.441	1	25.722
18.577	21.435	28.572	27.151	0	0
17.148	41.441	66.668	50.015	1	17.148
7.145	28.58	66.668	24.293	1	7.145
30.009	54.302	80.954	67.163	1	30.009
17.148	40.012	80.954	48.586	0	0
38.583	61.447	85.716	74.308	1	38.583
18.577	24.293	40.477	15.719	0	0
18.577	50.015	50.001	28.58	0	0
42.87	64.305	61.906	57.16	1	42.87
40.012	75.737	92.859	82.882	1	40.012
48.586	88.598	92.859	91.456	1	48.586
25.722	51.444	66.668	42.87	1	25.722
24.293	40.012	69.049	51.444	1	24.293
20.006	24.293	64.287	17.148	0	0
37.154	58.589	71.43	77.166	0	0
18.577	48.586	64.287	58.589	1	18.577
18.577	55.731	71.43	60.018	1	18.577
34.296	64.305	76.192	58.589	1	34.296
22.864	51.444	54.763	34.296	1	22.864
11.432	14.29	47.62	20.006	0	0
38.583	37.154	59.525	45.728	0	0
28.58	54.302	76.192	55.731	0	0
24.293	37.154	57.144	27.151	1	24.293
24.293	31.438	66.668	25.722	1	24.293
25.722	50.015	88.097	58.589	1	25.722
20.006	60.018	69.049	67.163	1	20.006
42.87	84.311	92.859	71.45	1	42.87
22.864	35.725	73.811	47.157	1	22.864
58.589	71.45	78.573	82.882	1	58.589
25.722	41.441	57.144	38.583	1	25.722
30.009	61.447	71.43	64.305	1	30.009
52.873	75.737	61.906	75.737	0	0
37.154	74.308	71.43	70.021	0	0
15.719	34.296	88.097	44.299	1	15.719
47.157	48.586	88.097	60.018	0	0
10.003	28.58	69.049	31.438	1	10.003
22.864	22.864	71.43	38.583	0	0
42.87	51.444	85.716	52.873	0	0
35.725	55.731	52.382	50.015	0	0
47.157	62.876	88.097	65.734	0	0
40.012	57.16	83.335	50.015	0	0
21.435	38.583	71.43	22.864	1	21.435
18.577	20.006	47.62	14.29	1	18.577
14.29	12.861	33.334	20.006	0	0
48.586	64.305	83.335	67.163	1	48.586
47.157	64.305	83.335	68.592	1	47.157
42.87	70.021	78.573	77.166	1	42.87
30.009	45.728	90.478	62.876	1	30.009
27.151	58.589	69.049	52.873	1	27.151
52.873	62.876	83.335	75.737	1	52.873
21.435	25.722	50.001	17.148	0	0
47.157	78.595	80.954	78.595	1	47.157
40.012	55.731	76.192	67.163	1	40.012
38.583	61.447	71.43	68.592	0	0
